question,tsne1,tsne2,question_type,question_type_id,kmeans_k6,dbscan_e2_s7
Is psoriatic arthritis inherited ?,25.53379,-78.2163,inheritance,7,5,-1
What are the treatments for psoriatic arthritis ?,25.533798,-78.2163,treatment,11,5,-1
What is (are) Cole disease ?,-23.7468,-56.501305,information,6,3,-1
How many people are affected by Cole disease ?,-23.7468,-56.501305,frequency,4,3,-1
What are the genetic changes related to Cole disease ?,-23.7468,-56.501305,genetic_changes,5,3,-1
Is Cole disease inherited ?,-23.7468,-56.501305,inheritance,7,3,-1
What are the treatments for Cole disease ?,-23.746798,-56.50131,treatment,11,3,-1
What is (are) sepiapterin reductase deficiency ?,26.009079,5.418236,information,6,0,0
How many people are affected by sepiapterin reductase deficiency ?,26.009079,5.4182353,frequency,4,0,0
What are the genetic changes related to sepiapterin reductase deficiency ?,26.009079,5.418236,genetic_changes,5,0,0
Is sepiapterin reductase deficiency inherited ?,26.009079,5.418236,inheritance,7,0,0
What are the treatments for sepiapterin reductase deficiency ?,26.009079,5.418236,treatment,11,0,0
What is (are) pulmonary veno-occlusive disease ?,43.47912,1.2135022,information,6,2,381
How many people are affected by pulmonary veno-occlusive disease ?,43.479103,1.213515,frequency,4,2,381
What are the genetic changes related to pulmonary veno-occlusive disease ?,43.47911,1.2135149,genetic_changes,5,2,381
Is pulmonary veno-occlusive disease inherited ?,43.479107,1.2135133,inheritance,7,2,381
What are the treatments for pulmonary veno-occlusive disease ?,43.47967,1.2129451,treatment,11,2,381
What is (are) Duchenne and Becker muscular dystrophy ?,-14.110929,49.31791,information,6,4,-1
How many people are affected by Duchenne and Becker muscular dystrophy ?,-14.110922,49.31791,frequency,4,4,-1
What are the genetic changes related to Duchenne and Becker muscular dystrophy ?,-14.110924,49.317905,genetic_changes,5,4,-1
Is Duchenne and Becker muscular dystrophy inherited ?,-14.110902,49.317905,inheritance,7,4,-1
What are the treatments for Duchenne and Becker muscular dystrophy ?,-14.11093,49.31791,treatment,11,4,-1
What is (are) MECP2-related severe neonatal encephalopathy ?,-17.097797,-29.864214,information,6,3,-1
How many people are affected by MECP2-related severe neonatal encephalopathy ?,-17.0978,-29.864214,frequency,4,3,-1
What are the genetic changes related to MECP2-related severe neonatal encephalopathy ?,-17.097795,-29.864216,genetic_changes,5,3,-1
Is MECP2-related severe neonatal encephalopathy inherited ?,-17.0978,-29.864214,inheritance,7,3,-1
What are the treatments for MECP2-related severe neonatal encephalopathy ?,-17.097797,-29.864214,treatment,11,3,-1
What is (are) dopamine beta-hydroxylase deficiency ?,18.56983,-28.993753,information,6,5,-1
How many people are affected by dopamine beta-hydroxylase deficiency ?,18.569832,-28.993752,frequency,4,5,-1
What are the genetic changes related to dopamine beta-hydroxylase deficiency ?,18.56983,-28.993752,genetic_changes,5,5,-1
Is dopamine beta-hydroxylase deficiency inherited ?,18.569832,-28.993753,inheritance,7,5,-1
What are the treatments for dopamine beta-hydroxylase deficiency ?,18.56983,-28.993753,treatment,11,5,-1
What is (are) nephrogenic diabetes insipidus ?,-32.11001,-45.270008,information,6,3,-1
How many people are affected by nephrogenic diabetes insipidus ?,-32.11001,-45.270008,frequency,4,3,-1
What are the genetic changes related to nephrogenic diabetes insipidus ?,-32.11001,-45.270008,genetic_changes,5,3,-1
Is nephrogenic diabetes insipidus inherited ?,-32.11001,-45.270008,inheritance,7,3,-1
What are the treatments for nephrogenic diabetes insipidus ?,-32.11001,-45.270008,treatment,11,3,-1
What is (are) Gorlin syndrome ?,15.663742,30.283329,information,6,1,-1
How many people are affected by Gorlin syndrome ?,15.663737,30.283329,frequency,4,1,-1
What are the genetic changes related to Gorlin syndrome ?,15.663738,30.28333,genetic_changes,5,1,-1
Is Gorlin syndrome inherited ?,15.663744,30.28333,inheritance,7,1,-1
What are the treatments for Gorlin syndrome ?,15.663742,30.28333,treatment,11,1,-1
What is (are) 1p36 deletion syndrome ?,17.60079,-27.221209,information,6,5,0
How many people are affected by 1p36 deletion syndrome ?,17.600788,-27.221205,frequency,4,5,0
What are the genetic changes related to 1p36 deletion syndrome ?,17.600792,-27.22121,genetic_changes,5,5,0
Is 1p36 deletion syndrome inherited ?,17.600834,-27.221266,inheritance,7,5,0
What are the treatments for 1p36 deletion syndrome ?,17.600792,-27.22121,treatment,11,5,0
What is (are) pseudoachondroplasia ?,14.4306755,-43.90335,information,6,5,1148
How many people are affected by pseudoachondroplasia ?,14.430687,-43.9027,frequency,4,5,1148
What are the genetic changes related to pseudoachondroplasia ?,14.430688,-43.902695,genetic_changes,5,5,1148
Is pseudoachondroplasia inherited ?,14.430677,-43.903324,inheritance,7,5,1148
What are the treatments for pseudoachondroplasia ?,14.430676,-43.903294,treatment,11,5,1148
What is (are) ataxia with oculomotor apraxia ?,5.8717127,-30.214857,information,6,5,0
How many people are affected by ataxia with oculomotor apraxia ?,5.8717127,-30.214859,frequency,4,5,0
What are the genetic changes related to ataxia with oculomotor apraxia ?,5.871713,-30.214859,genetic_changes,5,5,0
Is ataxia with oculomotor apraxia inherited ?,5.871713,-30.21486,inheritance,7,5,0
What are the treatments for ataxia with oculomotor apraxia ?,5.8717136,-30.214859,treatment,11,5,0
What is (are) histiocytosis-lymphadenopathy plus syndrome ?,22.61574,0.84814453,information,6,0,0
How many people are affected by histiocytosis-lymphadenopathy plus syndrome ?,22.61583,0.8481478,frequency,4,0,0
What are the genetic changes related to histiocytosis-lymphadenopathy plus syndrome ?,22.615831,0.8481478,genetic_changes,5,0,0
Is histiocytosis-lymphadenopathy plus syndrome inherited ?,22.615793,0.8481464,inheritance,7,0,0
What are the treatments for histiocytosis-lymphadenopathy plus syndrome ?,22.615746,0.8481447,treatment,11,0,0
What is (are) vitelliform macular dystrophy ?,-8.741451,-67.9606,information,6,5,-1
How many people are affected by vitelliform macular dystrophy ?,-8.7414875,-67.96052,frequency,4,5,-1
What are the genetic changes related to vitelliform macular dystrophy ?,-8.741487,-67.96052,genetic_changes,5,5,-1
Is vitelliform macular dystrophy inherited ?,-8.7415495,-67.96028,inheritance,7,5,-1
What are the treatments for vitelliform macular dystrophy ?,-8.741453,-67.960594,treatment,11,5,-1
What is (are) Parkes Weber syndrome ?,39.016804,-22.478144,information,6,2,-1
How many people are affected by Parkes Weber syndrome ?,39.016804,-22.478142,frequency,4,2,-1
What are the genetic changes related to Parkes Weber syndrome ?,39.016804,-22.478142,genetic_changes,5,2,-1
Is Parkes Weber syndrome inherited ?,39.016804,-22.478144,inheritance,7,2,-1
What are the treatments for Parkes Weber syndrome ?,39.016804,-22.478144,treatment,11,2,-1
What is (are) mal de Meleda ?,-51.37781,-22.709364,information,6,3,-1
How many people are affected by mal de Meleda ?,-51.377808,-22.709362,frequency,4,3,-1
What are the genetic changes related to mal de Meleda ?,-51.37781,-22.709364,genetic_changes,5,3,-1
Is mal de Meleda inherited ?,-51.37781,-22.709364,inheritance,7,3,-1
What are the treatments for mal de Meleda ?,-51.37781,-22.709364,treatment,11,3,-1
What is (are) Koolen-de Vries syndrome ?,22.397642,-14.985681,information,6,0,0
How many people are affected by Koolen-de Vries syndrome ?,22.39766,-14.9856825,frequency,4,0,0
What are the genetic changes related to Koolen-de Vries syndrome ?,22.397655,-14.985682,genetic_changes,5,0,0
Is Koolen-de Vries syndrome inherited ?,22.397652,-14.985681,inheritance,7,0,0
What are the treatments for Koolen-de Vries syndrome ?,22.397644,-14.985682,treatment,11,0,0
What is (are) pulmonary arterial hypertension ?,18.425201,-38.09771,information,6,5,1149
How many people are affected by pulmonary arterial hypertension ?,18.425213,-38.097736,frequency,4,5,1149
What are the genetic changes related to pulmonary arterial hypertension ?,18.425213,-38.09774,genetic_changes,5,5,1149
Is pulmonary arterial hypertension inherited ?,18.425201,-38.097713,inheritance,7,5,1149
What are the treatments for pulmonary arterial hypertension ?,18.42497,-38.096077,treatment,11,5,1149
What is (are) Ghosal hematodiaphyseal dysplasia ?,16.648462,-39.59679,information,6,5,-1
How many people are affected by Ghosal hematodiaphyseal dysplasia ?,16.648457,-39.596783,frequency,4,5,-1
What are the genetic changes related to Ghosal hematodiaphyseal dysplasia ?,16.648457,-39.596786,genetic_changes,5,5,-1
Is Ghosal hematodiaphyseal dysplasia inherited ?,16.648443,-39.596752,inheritance,7,5,-1
What are the treatments for Ghosal hematodiaphyseal dysplasia ?,16.648458,-39.596794,treatment,11,5,-1
What is (are) atypical hemolytic-uremic syndrome ?,-65.84651,-36.01025,information,6,3,-1
How many people are affected by atypical hemolytic-uremic syndrome ?,-65.846504,-36.010254,frequency,4,3,-1
What are the genetic changes related to atypical hemolytic-uremic syndrome ?,-65.846504,-36.010254,genetic_changes,5,3,-1
Is atypical hemolytic-uremic syndrome inherited ?,-65.846504,-36.01025,inheritance,7,3,-1
What are the treatments for atypical hemolytic-uremic syndrome ?,-65.84652,-36.010254,treatment,11,3,-1
What is (are) alpha-1 antitrypsin deficiency ?,46.861458,-8.662033,information,6,2,888
How many people are affected by alpha-1 antitrypsin deficiency ?,46.861446,-8.662022,frequency,4,2,888
What are the genetic changes related to alpha-1 antitrypsin deficiency ?,46.861443,-8.662022,genetic_changes,5,2,888
Is alpha-1 antitrypsin deficiency inherited ?,46.86145,-8.662025,inheritance,7,2,888
What are the treatments for alpha-1 antitrypsin deficiency ?,46.861458,-8.662032,treatment,11,2,888
What is (are) essential tremor ?,-64.36341,0.60077876,information,6,3,-1
How many people are affected by essential tremor ?,-64.36364,0.6008035,frequency,4,3,-1
What are the genetic changes related to essential tremor ?,-64.36363,0.6008035,genetic_changes,5,3,-1
Is essential tremor inherited ?,-64.36338,0.6007748,inheritance,7,3,-1
What are the treatments for essential tremor ?,-64.363434,0.60078096,treatment,11,3,-1
What is (are) warfarin resistance ?,29.764208,4.4986296,information,6,0,-1
How many people are affected by warfarin resistance ?,29.764208,4.498629,frequency,4,0,-1
What are the genetic changes related to warfarin resistance ?,29.764212,4.4986296,genetic_changes,5,0,-1
Is warfarin resistance inherited ?,29.764206,4.4986296,inheritance,7,0,-1
What are the treatments for warfarin resistance ?,29.764208,4.49863,treatment,11,0,-1
What is (are) thrombotic thrombocytopenic purpura ?,-73.073875,-11.013292,information,6,3,-1
How many people are affected by thrombotic thrombocytopenic purpura ?,-73.07385,-11.013317,frequency,4,3,-1
What are the genetic changes related to thrombotic thrombocytopenic purpura ?,-73.07386,-11.013316,genetic_changes,5,3,-1
Is thrombotic thrombocytopenic purpura inherited ?,-73.073875,-11.013296,inheritance,7,3,-1
What are the treatments for thrombotic thrombocytopenic purpura ?,-73.073875,-11.013292,treatment,11,3,-1
How many people are affected by Charcot-Marie-Tooth disease ?,-18.73641,-7.8878636,frequency,4,0,0
What are the genetic changes related to Charcot-Marie-Tooth disease ?,-18.73641,-7.887864,genetic_changes,5,0,0
Is Charcot-Marie-Tooth disease inherited ?,-18.736416,-7.887867,inheritance,7,0,0
What is (are) Maffucci syndrome ?,-30.998991,25.553215,information,6,4,-1
How many people are affected by Maffucci syndrome ?,-30.998993,25.553215,frequency,4,4,-1
What are the genetic changes related to Maffucci syndrome ?,-30.998991,25.553217,genetic_changes,5,4,-1
Is Maffucci syndrome inherited ?,-30.998991,25.553215,inheritance,7,4,-1
What are the treatments for Maffucci syndrome ?,-30.998991,25.553217,treatment,11,4,-1
What is (are) primary myelofibrosis ?,-85.35442,-23.33828,information,6,3,383
How many people are affected by primary myelofibrosis ?,-85.33047,-23.342281,frequency,4,3,383
What are the genetic changes related to primary myelofibrosis ?,-85.33047,-23.34228,genetic_changes,5,3,383
Is primary myelofibrosis inherited ?,-85.35437,-23.33829,inheritance,7,3,383
What are the treatments for primary myelofibrosis ?,-85.34183,-23.34035,treatment,11,3,383
What is (are) optic atrophy type 1 ?,-24.113483,-26.449463,information,6,3,1150
How many people are affected by optic atrophy type 1 ?,-24.113483,-26.449463,frequency,4,3,1150
What are the genetic changes related to optic atrophy type 1 ?,-24.113482,-26.449463,genetic_changes,5,3,1150
Is optic atrophy type 1 inherited ?,-24.113487,-26.449467,inheritance,7,3,1150
What are the treatments for optic atrophy type 1 ?,-24.113482,-26.449467,treatment,11,3,1150
What is (are) hepatic lipase deficiency ?,-0.757419,-65.7724,information,6,5,1151
How many people are affected by hepatic lipase deficiency ?,-0.75741905,-65.7724,frequency,4,5,1151
What are the genetic changes related to hepatic lipase deficiency ?,-0.7574191,-65.77239,genetic_changes,5,5,1151
Is hepatic lipase deficiency inherited ?,-0.7574191,-65.772385,inheritance,7,5,1151
What are the treatments for hepatic lipase deficiency ?,-0.75742036,-65.7725,treatment,11,5,1151
What is (are) ALG12-congenital disorder of glycosylation ?,-16.050406,24.773964,information,6,0,0
How many people are affected by ALG12-congenital disorder of glycosylation ?,-16.050402,24.773962,frequency,4,0,0
What are the genetic changes related to ALG12-congenital disorder of glycosylation ?,-16.050404,24.77396,genetic_changes,5,0,0
Is ALG12-congenital disorder of glycosylation inherited ?,-16.050627,24.77437,inheritance,7,0,0
What are the treatments for ALG12-congenital disorder of glycosylation ?,-16.050404,24.773964,treatment,11,0,0
What is (are) Frasier syndrome ?,-35.304657,-68.922295,information,6,3,-1
How many people are affected by Frasier syndrome ?,-35.304653,-68.922295,frequency,4,3,-1
What are the genetic changes related to Frasier syndrome ?,-35.304657,-68.92229,genetic_changes,5,3,-1
Is Frasier syndrome inherited ?,-35.304653,-68.9223,inheritance,7,3,-1
What are the treatments for Frasier syndrome ?,-35.304657,-68.922295,treatment,11,3,-1
What is (are) mandibuloacral dysplasia ?,-56.391327,-37.601006,information,6,3,-1
How many people are affected by mandibuloacral dysplasia ?,-56.391327,-37.601,frequency,4,3,-1
What are the genetic changes related to mandibuloacral dysplasia ?,-56.39133,-37.601006,genetic_changes,5,3,-1
Is mandibuloacral dysplasia inherited ?,-56.39133,-37.601,inheritance,7,3,-1
What are the treatments for mandibuloacral dysplasia ?,-56.391323,-37.601,treatment,11,3,-1
What is (are) critical congenital heart disease ?,-3.7552936,-31.265408,information,6,5,1127
How many people are affected by critical congenital heart disease ?,-3.7552936,-31.265408,frequency,4,5,1127
What are the genetic changes related to critical congenital heart disease ?,-3.7552936,-31.265408,genetic_changes,5,5,1127
Is critical congenital heart disease inherited ?,-3.7552936,-31.265408,inheritance,7,5,1127
What are the treatments for critical congenital heart disease ?,-3.7552936,-31.265406,treatment,11,5,1127
What is (are) Tangier disease ?,-8.967952,27.739119,information,6,0,0
How many people are affected by Tangier disease ?,-8.967951,27.739117,frequency,4,0,0
What are the genetic changes related to Tangier disease ?,-8.967952,27.739117,genetic_changes,5,0,0
Is Tangier disease inherited ?,-8.967953,27.739119,inheritance,7,0,0
What are the treatments for Tangier disease ?,-8.967952,27.739119,treatment,11,0,0
What is (are) COG5-congenital disorder of glycosylation ?,-8.421276,-22.547182,information,6,0,0
How many people are affected by COG5-congenital disorder of glycosylation ?,-8.421276,-22.547176,frequency,4,0,0
What are the genetic changes related to COG5-congenital disorder of glycosylation ?,-8.421275,-22.547176,genetic_changes,5,0,0
Is COG5-congenital disorder of glycosylation inherited ?,-8.4214525,-22.547684,inheritance,7,0,0
What are the treatments for COG5-congenital disorder of glycosylation ?,-8.421278,-22.547182,treatment,11,0,0
What is (are) autosomal recessive congenital stationary night blindness ?,-35.372913,-31.739145,information,6,3,-1
How many people are affected by autosomal recessive congenital stationary night blindness ?,-35.37293,-31.739166,frequency,4,3,-1
What are the genetic changes related to autosomal recessive congenital stationary night blindness ?,-35.37293,-31.739166,genetic_changes,5,3,-1
Is autosomal recessive congenital stationary night blindness inherited ?,-35.37291,-31.739147,inheritance,7,3,-1
What are the treatments for autosomal recessive congenital stationary night blindness ?,-35.372883,-31.739128,treatment,11,3,-1
What is (are) congenital fibrosis of the extraocular muscles ?,-47.19783,-20.576227,information,6,3,-1
How many people are affected by congenital fibrosis of the extraocular muscles ?,-47.197826,-20.576227,frequency,4,3,-1
What are the genetic changes related to congenital fibrosis of the extraocular muscles ?,-47.19783,-20.576227,genetic_changes,5,3,-1
Is congenital fibrosis of the extraocular muscles inherited ?,-47.19783,-20.576227,inheritance,7,3,-1
What are the treatments for congenital fibrosis of the extraocular muscles ?,-47.197826,-20.576225,treatment,11,3,-1
What is (are) Moebius syndrome ?,-26.691416,36.388588,information,6,4,-1
How many people are affected by Moebius syndrome ?,-26.691414,36.38859,frequency,4,4,-1
What are the genetic changes related to Moebius syndrome ?,-26.691416,36.388588,genetic_changes,5,4,-1
Is Moebius syndrome inherited ?,-26.691418,36.388588,inheritance,7,4,-1
What are the treatments for Moebius syndrome ?,-26.691416,36.38859,treatment,11,4,-1
What is (are) prolidase deficiency ?,-7.2534223,-30.41971,information,6,0,0
How many people are affected by prolidase deficiency ?,-7.2534223,-30.41971,frequency,4,0,0
What are the genetic changes related to prolidase deficiency ?,-7.2534223,-30.419712,genetic_changes,5,0,0
Is prolidase deficiency inherited ?,-7.253422,-30.419712,inheritance,7,0,0
What are the treatments for prolidase deficiency ?,-7.2534223,-30.41971,treatment,11,0,0
What is (are) giant axonal neuropathy ?,21.774088,-5.4424996,information,6,0,0
How many people are affected by giant axonal neuropathy ?,21.774315,-5.44256,frequency,4,0,0
What are the genetic changes related to giant axonal neuropathy ?,21.774315,-5.4425597,genetic_changes,5,0,0
Is giant axonal neuropathy inherited ?,21.783781,-5.44461,inheritance,7,0,0
What are the treatments for giant axonal neuropathy ?,21.774105,-5.4425044,treatment,11,0,0
What is (are) androgen insensitivity syndrome ?,8.055598,41.102795,information,6,1,1022
How many people are affected by androgen insensitivity syndrome ?,8.055638,41.10282,frequency,4,1,1022
What are the genetic changes related to androgen insensitivity syndrome ?,8.055638,41.10282,genetic_changes,5,1,1022
Is androgen insensitivity syndrome inherited ?,8.055618,41.102814,inheritance,7,1,1022
What are the treatments for androgen insensitivity syndrome ?,8.055596,41.1028,treatment,11,1,1022
"What is (are) platyspondylic lethal skeletal dysplasia, Torrance type ?",31.892649,-5.463828,information,6,2,-1
"How many people are affected by platyspondylic lethal skeletal dysplasia, Torrance type ?",31.892637,-5.4638267,frequency,4,2,-1
"What are the genetic changes related to platyspondylic lethal skeletal dysplasia, Torrance type ?",31.892641,-5.4638267,genetic_changes,5,2,-1
"Is platyspondylic lethal skeletal dysplasia, Torrance type inherited ?",31.892612,-5.463824,inheritance,7,2,-1
"What are the treatments for platyspondylic lethal skeletal dysplasia, Torrance type ?",31.892645,-5.463828,treatment,11,2,-1
What is (are) spinocerebellar ataxia type 3 ?,8.778882,-22.260881,information,6,0,0
How many people are affected by spinocerebellar ataxia type 3 ?,8.785163,-22.256784,frequency,4,0,0
What are the genetic changes related to spinocerebellar ataxia type 3 ?,8.785163,-22.256783,genetic_changes,5,0,0
Is spinocerebellar ataxia type 3 inherited ?,8.778877,-22.260883,inheritance,7,0,0
What are the treatments for spinocerebellar ataxia type 3 ?,8.778583,-22.26016,treatment,11,0,0
What is (are) globozoospermia ?,14.48899,32.283295,information,6,1,-1
How many people are affected by globozoospermia ?,14.48899,32.283295,frequency,4,1,-1
What are the genetic changes related to globozoospermia ?,14.488989,32.283295,genetic_changes,5,1,-1
Is globozoospermia inherited ?,14.488989,32.2833,inheritance,7,1,-1
What are the treatments for globozoospermia ?,14.48899,32.283295,treatment,11,1,-1
What is (are) cystinosis ?,-5.7689953,-49.091724,information,6,5,-1
How many people are affected by cystinosis ?,-5.7689962,-49.09173,frequency,4,5,-1
What are the genetic changes related to cystinosis ?,-5.7689962,-49.09173,genetic_changes,5,5,-1
Is cystinosis inherited ?,-5.7689953,-49.091724,inheritance,7,5,-1
What are the treatments for cystinosis ?,-5.7689953,-49.091724,treatment,11,5,-1
What is (are) trisomy 18 ?,-59.768528,-55.36024,information,6,3,-1
How many people are affected by trisomy 18 ?,-59.768425,-55.36026,frequency,4,3,-1
What are the genetic changes related to trisomy 18 ?,-59.76843,-55.36026,genetic_changes,5,3,-1
Is trisomy 18 inherited ?,-59.768513,-55.360233,inheritance,7,3,-1
What are the treatments for trisomy 18 ?,-59.768528,-55.360237,treatment,11,3,-1
What is (are) Warsaw breakage syndrome ?,7.808996,-42.0364,information,6,5,-1
How many people are affected by Warsaw breakage syndrome ?,7.8089967,-42.0364,frequency,4,5,-1
What are the genetic changes related to Warsaw breakage syndrome ?,7.808997,-42.036404,genetic_changes,5,5,-1
Is Warsaw breakage syndrome inherited ?,7.808997,-42.036396,inheritance,7,5,-1
What are the treatments for Warsaw breakage syndrome ?,7.808997,-42.0364,treatment,11,5,-1
What is (are) multiple cutaneous and mucosal venous malformations ?,12.301443,28.20337,information,6,1,1152
How many people are affected by multiple cutaneous and mucosal venous malformations ?,12.302183,28.203453,frequency,4,1,1152
What are the genetic changes related to multiple cutaneous and mucosal venous malformations ?,12.302184,28.203453,genetic_changes,5,1,1152
Is multiple cutaneous and mucosal venous malformations inherited ?,12.301442,28.20337,inheritance,7,1,1152
What are the treatments for multiple cutaneous and mucosal venous malformations ?,12.301422,28.20336,treatment,11,1,1152
What is (are) adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?,-23.799429,27.451588,information,6,4,1153
How many people are affected by adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?,-23.799429,27.451588,frequency,4,4,1153
What are the genetic changes related to adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?,-23.799429,27.451586,genetic_changes,5,4,1153
Is adult-onset leukoencephalopathy with axonal spheroids and pigmented glia inherited ?,-23.799427,27.451588,inheritance,7,4,1153
What are the treatments for adult-onset leukoencephalopathy with axonal spheroids and pigmented glia ?,-23.79943,27.451586,treatment,11,4,1153
What is (are) horizontal gaze palsy with progressive scoliosis ?,21.516045,17.21502,information,6,0,0
How many people are affected by horizontal gaze palsy with progressive scoliosis ?,21.5161,17.215149,frequency,4,0,0
What are the genetic changes related to horizontal gaze palsy with progressive scoliosis ?,21.516098,17.215153,genetic_changes,5,0,0
Is horizontal gaze palsy with progressive scoliosis inherited ?,21.51605,17.215036,inheritance,7,0,0
What are the treatments for horizontal gaze palsy with progressive scoliosis ?,21.516048,17.21503,treatment,11,0,0
What is (are) oculocutaneous albinism ?,-32.861084,-15.773096,information,6,3,0
How many people are affected by oculocutaneous albinism ?,-32.86265,-15.775001,frequency,4,3,0
What are the genetic changes related to oculocutaneous albinism ?,-32.862648,-15.774996,genetic_changes,5,3,0
Is oculocutaneous albinism inherited ?,-32.861294,-15.773349,inheritance,7,3,0
What are the treatments for oculocutaneous albinism ?,-32.86108,-15.77309,treatment,11,3,0
What is (are) neutral lipid storage disease with myopathy ?,81.51528,-40.00461,information,6,2,1154
How many people are affected by neutral lipid storage disease with myopathy ?,81.51529,-40.004612,frequency,4,2,1154
What are the genetic changes related to neutral lipid storage disease with myopathy ?,81.51529,-40.00461,genetic_changes,5,2,1154
Is neutral lipid storage disease with myopathy inherited ?,81.515305,-40.004616,inheritance,7,2,1154
What are the treatments for neutral lipid storage disease with myopathy ?,81.51528,-40.004612,treatment,11,2,1154
What is (are) 3-methylglutaconyl-CoA hydratase deficiency ?,-12.90614,-28.959414,information,6,0,-1
How many people are affected by 3-methylglutaconyl-CoA hydratase deficiency ?,-12.90614,-28.959414,frequency,4,0,-1
What are the genetic changes related to 3-methylglutaconyl-CoA hydratase deficiency ?,-12.90614,-28.959414,genetic_changes,5,0,-1
Is 3-methylglutaconyl-CoA hydratase deficiency inherited ?,-12.90614,-28.959414,inheritance,7,0,-1
What are the treatments for 3-methylglutaconyl-CoA hydratase deficiency ?,-12.90614,-28.959414,treatment,11,0,-1
What is (are) cri-du-chat syndrome ?,-44.202827,24.242691,information,6,4,-1
How many people are affected by cri-du-chat syndrome ?,-44.20283,24.242691,frequency,4,4,-1
What are the genetic changes related to cri-du-chat syndrome ?,-44.20283,24.242691,genetic_changes,5,4,-1
Is cri-du-chat syndrome inherited ?,-44.202835,24.242691,inheritance,7,4,-1
What are the treatments for cri-du-chat syndrome ?,-44.202835,24.242691,treatment,11,4,-1
How many people are affected by Treacher Collins syndrome ?,-49.840397,32.74546,frequency,4,4,736
What are the genetic changes related to Treacher Collins syndrome ?,-49.840393,32.745464,genetic_changes,5,4,736
Is Treacher Collins syndrome inherited ?,-49.840412,32.745495,inheritance,7,4,736
What is (are) multiple lentigines syndrome ?,24.77474,14.832264,information,6,0,1155
How many people are affected by multiple lentigines syndrome ?,24.77474,14.832647,frequency,4,0,1155
What are the genetic changes related to multiple lentigines syndrome ?,24.77474,14.832648,genetic_changes,5,0,1155
Is multiple lentigines syndrome inherited ?,24.774738,14.832263,inheritance,7,0,1155
What are the treatments for multiple lentigines syndrome ?,24.774733,14.83225,treatment,11,0,1155
What is (are) hypohidrotic ectodermal dysplasia ?,-59.44633,-47.13684,information,6,3,-1
How many people are affected by hypohidrotic ectodermal dysplasia ?,-59.446945,-47.136887,frequency,4,3,-1
What are the genetic changes related to hypohidrotic ectodermal dysplasia ?,-59.44695,-47.13688,genetic_changes,5,3,-1
Is hypohidrotic ectodermal dysplasia inherited ?,-59.4497,-47.137127,inheritance,7,3,-1
What are the treatments for hypohidrotic ectodermal dysplasia ?,-59.446392,-47.136837,treatment,11,3,-1
What is (are) severe congenital neutropenia ?,-34.698284,-35.985523,information,6,3,-1
How many people are affected by severe congenital neutropenia ?,-34.698284,-35.985523,frequency,4,3,-1
What are the genetic changes related to severe congenital neutropenia ?,-34.698284,-35.985523,genetic_changes,5,3,-1
Is severe congenital neutropenia inherited ?,-34.698284,-35.985523,inheritance,7,3,-1
What are the treatments for severe congenital neutropenia ?,-34.698284,-35.985523,treatment,11,3,-1
What is (are) Brugada syndrome ?,-14.980326,-29.614546,information,6,3,0
How many people are affected by Brugada syndrome ?,-14.980326,-29.614546,frequency,4,3,0
What are the genetic changes related to Brugada syndrome ?,-14.980325,-29.614544,genetic_changes,5,3,0
Is Brugada syndrome inherited ?,-14.980326,-29.614546,inheritance,7,3,0
What are the treatments for Brugada syndrome ?,-14.980325,-29.614546,treatment,11,3,0
What is (are) polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy ?,26.581694,-29.330439,information,6,5,-1
How many people are affected by polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy ?,26.581694,-29.330437,frequency,4,5,-1
What are the genetic changes related to polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy ?,26.58169,-29.330439,genetic_changes,5,5,-1
Is polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy inherited ?,26.581692,-29.330437,inheritance,7,5,-1
What are the treatments for polycystic lipomembranous osteodysplasia with sclerosing leukoencephalopathy ?,26.581694,-29.330437,treatment,11,5,-1
What is (are) spondyloperipheral dysplasia ?,10.534265,-39.49459,information,6,5,-1
How many people are affected by spondyloperipheral dysplasia ?,10.534263,-39.49459,frequency,4,5,-1
What are the genetic changes related to spondyloperipheral dysplasia ?,10.534263,-39.49459,genetic_changes,5,5,-1
Is spondyloperipheral dysplasia inherited ?,10.534265,-39.494602,inheritance,7,5,-1
What are the treatments for spondyloperipheral dysplasia ?,10.534264,-39.494595,treatment,11,5,-1
What is (are) epidermolysis bullosa simplex ?,8.091551,-46.590195,information,6,5,1156
How many people are affected by epidermolysis bullosa simplex ?,8.092352,-46.590034,frequency,4,5,1156
What are the genetic changes related to epidermolysis bullosa simplex ?,8.09235,-46.59004,genetic_changes,5,5,1156
Is epidermolysis bullosa simplex inherited ?,8.091653,-46.59017,inheritance,7,5,1156
What are the treatments for epidermolysis bullosa simplex ?,8.324856,-46.532856,treatment,11,5,1156
What is (are) X-linked juvenile retinoschisis ?,-44.50917,31.02558,information,6,4,-1
How many people are affected by X-linked juvenile retinoschisis ?,-44.50916,31.025585,frequency,4,4,-1
What are the genetic changes related to X-linked juvenile retinoschisis ?,-44.50916,31.025585,genetic_changes,5,4,-1
Is X-linked juvenile retinoschisis inherited ?,-44.509174,31.02558,inheritance,7,4,-1
